Question,Answer,Answer choices,Start timestamp,End timestamp,Known start timestamp,Known end timestamp,Question type
What government position does Aisha Wahab hold?,member of the State Senate of California,,2022-12-05T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Aisha Wahab hold government position member of the State Senate of California?,yes,,2022-12-05T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Aisha Wahab hold government position member of the State Senate of California?,no,,,2022-12-05T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Karen Bass hold?,United States representative,,2021-01-03T00:00:00Z,2022-12-09T00:00:00Z,2021-02-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Karen Bass hold government position United States representative?,yes,,2021-01-03T00:00:00Z,2022-12-09T00:00:00Z,2021-02-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Karen Bass hold government position United States representative?,no,,2022-12-09T00:00:00Z,,2022-12-01 00:00:00,,position held
What government position does Anne-Marie Trevelyan hold?,Minister of State for Foreign Affairs,,2022-10-26T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Anne-Marie Trevelyan hold government position Minister of State for Foreign Affairs?,yes,,2022-10-26T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Anne-Marie Trevelyan hold government position Minister of State for Foreign Affairs?,no,,,2022-10-26T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Charles Q. Brown Jr. hold?,Chief of Staff of the United States Air Force,,2020-08-06T00:00:00Z,2023-09-29T00:00:00Z,2020-10-01T00:00:00Z,2024-01-01T00:00:00Z,position held
Does Charles Q. Brown Jr. hold government position Chief of Staff of the United States Air Force?,yes,,2020-08-06T00:00:00Z,2023-09-29T00:00:00Z,2020-10-01T00:00:00Z,2024-01-01T00:00:00Z,position held
Does Charles Q. Brown Jr. hold government position Chief of Staff of the United States Air Force?,no,,2023-09-29T00:00:00Z,,2024-01-01 00:00:00,,position held
What government position does Filomena Tassi hold?,Minister of Public Services and Procurement,,2021-10-26T00:00:00Z,2022-08-31T00:00:00Z,2021-12-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Filomena Tassi hold government position Minister of Public Services and Procurement?,yes,,2021-10-26T00:00:00Z,2022-08-31T00:00:00Z,2021-12-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Filomena Tassi hold government position Minister of Public Services and Procurement?,no,,2022-08-31T00:00:00Z,,2022-12-01 00:00:00,,position held
What government position does Patty Murray hold?,United States senator,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Patty Murray hold government position United States senator?,yes,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Patty Murray hold government position United States senator?,no,,,2023-01-03T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Tulinabo S. Mushingi hold?,United States Ambassador to São Tomé and Príncipe,,2022-08-10T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does Tulinabo S. Mushingi hold government position United States Ambassador to São Tomé and Príncipe?,yes,,2022-08-10T00:00:00Z,2024-04-25T19:00:32Z,2024-03-01T00:00:00Z,,position held
Does Tulinabo S. Mushingi hold government position United States Ambassador to São Tomé and Príncipe?,no,,,2022-08-10T00:00:00Z,,2024-03-01T00:00:00Z,position held
What government position does Kiril Petkov hold?,Prime Minister of Bulgaria,,2021-12-13T00:00:00Z,2022-08-01T00:00:00Z,2022-01-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Kiril Petkov hold government position Prime Minister of Bulgaria?,yes,,2021-12-13T00:00:00Z,2022-08-01T00:00:00Z,2022-01-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Kiril Petkov hold government position Prime Minister of Bulgaria?,no,,2022-08-01T00:00:00Z,,2022-12-01 00:00:00,,position held
What government position does Katy Gallagher hold?,Minister for the Status of Women,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Katy Gallagher hold government position Minister for the Status of Women?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
What government position does Christopher J. Coyne hold?,diocesan bishop Roman Catholic Diocese of Burlington,,2014-12-22T00:00:00Z,2023-06-26T00:00:00Z,2016-02-01T00:00:00Z,2023-07-01T00:00:00Z,position held
Does Christopher J. Coyne hold government position diocesan bishop Roman Catholic Diocese of Burlington?,yes,,2014-12-22T00:00:00Z,2023-06-26T00:00:00Z,2016-02-01T00:00:00Z,2023-07-01T00:00:00Z,position held
Does Christopher J. Coyne hold government position diocesan bishop Roman Catholic Diocese of Burlington?,no,,2023-06-26T00:00:00Z,,2023-07-01 00:00:00,,position held
What government position does Oliver Dowden hold?,Minister without Portfolio,,2021-09-15T00:00:00Z,2022-06-24T00:00:00Z,2021-10-01T00:00:00Z,2022-07-01T00:00:00Z,position held
Does Oliver Dowden hold government position Minister without Portfolio?,yes,,2021-09-15T00:00:00Z,2022-06-24T00:00:00Z,2021-10-01T00:00:00Z,2022-07-01T00:00:00Z,position held
Does Oliver Dowden hold government position Minister without Portfolio?,no,,2022-06-24T00:00:00Z,,2022-07-01 00:00:00,,position held
What government position does Ted Budd hold?,United States representative,,2021-01-03T00:00:00Z,2023-01-03T00:00:00Z,2021-04-01T00:00:00Z,2023-01-01T00:00:00Z,position held
Does Ted Budd hold government position United States representative?,yes,,2021-01-03T00:00:00Z,2023-01-03T00:00:00Z,2021-04-01T00:00:00Z,2023-01-01T00:00:00Z,position held
Does Ted Budd hold government position United States representative?,no,,2023-01-03T00:00:00Z,,2023-01-01 00:00:00,,position held
What government position does Ted Budd hold?,United States senator,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Ted Budd hold government position United States senator?,yes,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Ted Budd hold government position United States senator?,no,,,2023-01-03T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Oliver Dowden hold?,Deputy Prime Minister of the United Kingdom,,2023-04-21T00:00:00Z,2024-04-25T19:00:32Z,2023-05-01T00:00:00Z,,position held
Does Oliver Dowden hold government position Deputy Prime Minister of the United Kingdom?,yes,,2023-04-21T00:00:00Z,2024-04-25T19:00:32Z,2023-05-01T00:00:00Z,,position held
Does Oliver Dowden hold government position Deputy Prime Minister of the United Kingdom?,no,,,2023-04-21T00:00:00Z,,2023-05-01T00:00:00Z,position held
What government position does Nicholas Scutari hold?,Member of the State Senate of New Jersey,,2020-01-14T00:00:00Z,2022-01-11T00:00:00Z,2020-03-01T00:00:00Z,2022-01-01T00:00:00Z,position held
Does Nicholas Scutari hold government position Member of the State Senate of New Jersey?,yes,,2020-01-14T00:00:00Z,2022-01-11T00:00:00Z,2020-03-01T00:00:00Z,2022-01-01T00:00:00Z,position held
Does Nicholas Scutari hold government position Member of the State Senate of New Jersey?,no,,2022-01-11T00:00:00Z,,2022-01-01 00:00:00,,position held
What government position does Lynne M. Tracy hold?,United States Ambassador to the Russian Federation,,2023-01-09T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
Does Lynne M. Tracy hold government position United States Ambassador to the Russian Federation?,yes,,2023-01-09T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
Does Lynne M. Tracy hold government position United States Ambassador to the Russian Federation?,no,,,2023-01-09T00:00:00Z,,2023-03-01T00:00:00Z,position held
What government position does Antonio Delgado hold?,United States representative,,2021-01-03T00:00:00Z,2022-05-25T00:00:00Z,2021-12-22T00:00:00Z,2022-08-17T00:00:00Z,position held
Does Antonio Delgado hold government position United States representative?,yes,,2021-01-03T00:00:00Z,2022-05-25T00:00:00Z,2021-12-22T00:00:00Z,2022-08-17T00:00:00Z,position held
Does Antonio Delgado hold government position United States representative?,no,,2022-05-25T00:00:00Z,,2022-08-17 00:00:00,,position held
What government position does Antonio Delgado hold?,Lieutenant Governor of New York,,2022-05-25T00:00:00Z,2024-04-25T19:00:32Z,2022-08-17T00:00:00Z,,position held
Does Antonio Delgado hold government position Lieutenant Governor of New York?,yes,,2022-05-25T00:00:00Z,2024-04-25T19:00:32Z,2022-08-17T00:00:00Z,,position held
Does Antonio Delgado hold government position Lieutenant Governor of New York?,no,,,2022-05-25T00:00:00Z,,2022-08-17T00:00:00Z,position held
What government position does Matt Mahan hold?,San Jose City Council member,,2021-01-05T00:00:00Z,2023-01-01T00:00:00Z,2021-04-01T00:00:00Z,2023-01-01T00:00:00Z,position held
Does Matt Mahan hold government position San Jose City Council member?,yes,,2021-01-05T00:00:00Z,2023-01-01T00:00:00Z,2021-04-01T00:00:00Z,2023-01-01T00:00:00Z,position held
Does Matt Mahan hold government position San Jose City Council member?,no,,2023-01-01T00:00:00Z,,2023-01-01 00:00:00,,position held
What government position does Stuart Andrew hold?,Minister of State for Housing,,2022-02-08T00:00:00Z,2022-07-06T00:00:00Z,2022-04-01T00:00:00Z,2023-03-01T00:00:00Z,position held
Does Stuart Andrew hold government position Minister of State for Housing?,yes,,2022-02-08T00:00:00Z,2022-07-06T00:00:00Z,2022-04-01T00:00:00Z,2023-03-01T00:00:00Z,position held
Does Stuart Andrew hold government position Minister of State for Housing?,no,,2022-07-06T00:00:00Z,,2023-03-01 00:00:00,,position held
What government position does Emma McBride hold?,Assistant Minister for Rural and Regional Health,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2024-02-01T00:00:00Z,,position held
Does Emma McBride hold government position Assistant Minister for Rural and Regional Health?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2024-02-01T00:00:00Z,,position held
What government position does Sarah Springman hold?,rector ETH Zurich,,2015-01-01T00:00:00Z,2022-01-31T00:00:00Z,2017-04-11T00:00:00Z,2023-04-01T00:00:00Z,position held
Does Sarah Springman hold government position rector ETH Zurich?,yes,,2015-01-01T00:00:00Z,2022-01-31T00:00:00Z,2017-04-11T00:00:00Z,2023-04-01T00:00:00Z,position held
Does Sarah Springman hold government position rector ETH Zurich?,no,,2022-01-31T00:00:00Z,,2023-04-01 00:00:00,,position held
What government position does Johnny Mercer hold?,Minister of State for Veterans' Affairs,,2022-07-07T00:00:00Z,2022-09-06T00:00:00Z,2022-07-01T00:00:00Z,2022-11-01T00:00:00Z,position held
Does Johnny Mercer hold government position Minister of State for Veterans' Affairs?,yes,,2022-07-07T00:00:00Z,2022-09-06T00:00:00Z,2022-07-01T00:00:00Z,2022-11-01T00:00:00Z,position held
Does Johnny Mercer hold government position Minister of State for Veterans' Affairs?,no,,2022-09-06T00:00:00Z,,2022-11-01 00:00:00,,position held
What government position does Matt Mahan hold?,Mayor of San Jose,,2023-01-01T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Matt Mahan hold government position Mayor of San Jose?,yes,,2023-01-01T00:00:00Z,2024-04-25T19:00:32Z,2023-01-01T00:00:00Z,,position held
Does Matt Mahan hold government position Mayor of San Jose?,no,,,2023-01-01T00:00:00Z,,2023-01-01T00:00:00Z,position held
What government position does Kevin Van Winkle hold?,member of the State Senate of Colorado,,2022-06-13T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does Kevin Van Winkle hold government position member of the State Senate of Colorado?,yes,,2022-06-13T00:00:00Z,2024-04-25T19:00:32Z,2022-12-01T00:00:00Z,,position held
Does Kevin Van Winkle hold government position member of the State Senate of Colorado?,no,,,2022-06-13T00:00:00Z,,2022-12-01T00:00:00Z,position held
What government position does Richard Holden hold?,Minister without Portfolio,,2023-11-13T00:00:00Z,2024-04-25T19:00:32Z,2023-11-01T00:00:00Z,,position held
Does Richard Holden hold government position Minister without Portfolio?,yes,,2023-11-13T00:00:00Z,2024-04-25T19:00:32Z,2023-11-01T00:00:00Z,,position held
Does Richard Holden hold government position Minister without Portfolio?,no,,,2023-11-13T00:00:00Z,,2023-11-01T00:00:00Z,position held
What government position does Andrew Griffith hold?,Director of the Number 10 Policy Unit,,2022-02-03T00:00:00Z,2022-07-08T00:00:00Z,2022-02-01T00:00:00Z,2022-10-01T00:00:00Z,position held
Does Andrew Griffith hold government position Director of the Number 10 Policy Unit?,yes,,2022-02-03T00:00:00Z,2022-07-08T00:00:00Z,2022-02-01T00:00:00Z,2022-10-01T00:00:00Z,position held
Does Andrew Griffith hold government position Director of the Number 10 Policy Unit?,no,,2022-07-08T00:00:00Z,,2022-10-01 00:00:00,,position held
What government position does Brittany Pettersen hold?,member of the State Senate of Colorado,,2019-01-04T00:00:00Z,2023-01-03T00:00:00Z,2019-09-01T00:00:00Z,2023-02-01T00:00:00Z,position held
Does Brittany Pettersen hold government position member of the State Senate of Colorado?,yes,,2019-01-04T00:00:00Z,2023-01-03T00:00:00Z,2019-09-01T00:00:00Z,2023-02-01T00:00:00Z,position held
Does Brittany Pettersen hold government position member of the State Senate of Colorado?,no,,2023-01-03T00:00:00Z,,2023-02-01 00:00:00,,position held
What government position does Brittany Pettersen hold?,United States representative,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-02-01T00:00:00Z,,position held
Does Brittany Pettersen hold government position United States representative?,yes,,2023-01-03T00:00:00Z,2024-04-25T19:00:32Z,2023-02-01T00:00:00Z,,position held
Does Brittany Pettersen hold government position United States representative?,no,,,2023-01-03T00:00:00Z,,2023-02-01T00:00:00Z,position held
What government position does Kate Green hold?,Shadow Secretary of State for Education,,2020-06-27T00:00:00Z,2021-11-29T00:00:00Z,2021-02-01T00:00:00Z,2023-04-01T00:00:00Z,position held
Does Kate Green hold government position Shadow Secretary of State for Education?,yes,,2020-06-27T00:00:00Z,2021-11-29T00:00:00Z,2021-02-01T00:00:00Z,2023-04-01T00:00:00Z,position held
Does Kate Green hold government position Shadow Secretary of State for Education?,no,,2021-11-29T00:00:00Z,,2023-04-01 00:00:00,,position held
What government position does Richard Holden hold?,Parliamentary Under Secretary of State for Roads and Local Transport,,2022-10-28T00:00:00Z,2023-11-13T00:00:00Z,2023-02-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Richard Holden hold government position Parliamentary Under Secretary of State for Roads and Local Transport?,yes,,2022-10-28T00:00:00Z,2023-11-13T00:00:00Z,2023-02-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Richard Holden hold government position Parliamentary Under Secretary of State for Roads and Local Transport?,no,,2023-11-13T00:00:00Z,,2023-11-01 00:00:00,,position held
What government position does Andrew Griffith hold?,Financial Secretary to the Treasury,,2022-09-07T00:00:00Z,2022-10-27T00:00:00Z,2022-10-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Andrew Griffith hold government position Financial Secretary to the Treasury?,yes,,2022-09-07T00:00:00Z,2022-10-27T00:00:00Z,2022-10-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Andrew Griffith hold government position Financial Secretary to the Treasury?,no,,,2022-09-07T00:00:00Z,,2022-10-01T00:00:00Z,position held
What government position does Bridget Brink hold?,United States Ambassador to Ukraine,,2022-05-30T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Bridget Brink hold government position United States Ambassador to Ukraine?,yes,,2022-05-30T00:00:00Z,2024-04-25T19:00:32Z,2022-06-01T00:00:00Z,,position held
Does Bridget Brink hold government position United States Ambassador to Ukraine?,no,,,2022-05-30T00:00:00Z,,2022-06-01T00:00:00Z,position held
What government position does Freddie O'Connell hold?,council member Metropolitan Council,,2015-09-01T00:00:00Z,2023-09-01T00:00:00Z,2023-06-01T00:00:00Z,2023-10-01T00:00:00Z,position held
Does Freddie O'Connell hold government position council member Metropolitan Council?,yes,,2015-09-01T00:00:00Z,2023-09-01T00:00:00Z,2023-06-01T00:00:00Z,2023-10-01T00:00:00Z,position held
Does Freddie O'Connell hold government position council member Metropolitan Council?,no,,2023-09-01T00:00:00Z,,2023-10-01 00:00:00,,position held
What government position does Stephen Barclay hold?,Secretary of State for Health and Social Care,,2022-07-05T00:00:00Z,2023-11-13T00:00:00Z,2022-07-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Stephen Barclay hold government position Secretary of State for Health and Social Care?,yes,,2022-07-05T00:00:00Z,2023-11-13T00:00:00Z,2022-07-01T00:00:00Z,2023-11-01T00:00:00Z,position held
Does Stephen Barclay hold government position Secretary of State for Health and Social Care?,no,,2023-11-13T00:00:00Z,,2023-11-01 00:00:00,,position held
What government position does Francis Collins hold?,director National Institutes of Health,,2009-08-17T00:00:00Z,2021-12-19T00:00:00Z,2017-02-01T00:00:00Z,2022-03-01T00:00:00Z,position held
Does Francis Collins hold government position director National Institutes of Health?,yes,,2009-08-17T00:00:00Z,2021-12-19T00:00:00Z,2017-02-01T00:00:00Z,2022-03-01T00:00:00Z,position held
Does Francis Collins hold government position director National Institutes of Health?,no,,2021-12-19T00:00:00Z,,2022-03-01 00:00:00,,position held
What government position does Anika Wells hold?,Minister for Aged Care,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-07-01T00:00:00Z,,position held
Does Anika Wells hold government position Minister for Aged Care?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-07-01T00:00:00Z,,position held
What government position does Kevin Van Winkle hold?,member of the Colorado House of Representatives,,2015-01-07T00:00:00Z,2022-06-13T00:00:00Z,2022-02-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Kevin Van Winkle hold government position member of the Colorado House of Representatives?,yes,,2015-01-07T00:00:00Z,2022-06-13T00:00:00Z,2022-02-01T00:00:00Z,2022-12-01T00:00:00Z,position held
Does Kevin Van Winkle hold government position member of the Colorado House of Representatives?,no,,2022-06-13T00:00:00Z,,2022-12-01 00:00:00,,position held
What government position does Bridget Brink hold?,United States Ambassador to Slovakia,,2019-08-20T00:00:00Z,2022-05-18T00:00:00Z,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,position held
Does Bridget Brink hold government position United States Ambassador to Slovakia?,yes,,2019-08-20T00:00:00Z,2022-05-18T00:00:00Z,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,position held
Does Bridget Brink hold government position United States Ambassador to Slovakia?,no,,2022-05-18T00:00:00Z,,2022-06-01 00:00:00,,position held
What government position does Stuart Andrew hold?,"Parliamentary Under-Secretary of State for Sport, Tourism and Civil Society",,2022-10-27T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
"Does Stuart Andrew hold government position Parliamentary Under-Secretary of State for Sport, Tourism and Civil Society?",yes,,2022-10-27T00:00:00Z,2024-04-25T19:00:32Z,2023-03-01T00:00:00Z,,position held
"Does Stuart Andrew hold government position Parliamentary Under-Secretary of State for Sport, Tourism and Civil Society?",no,,,2022-10-27T00:00:00Z,,2023-03-01T00:00:00Z,position held
What government position does Anika Wells hold?,Minister for Sport,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-07-01T00:00:00Z,,position held
Does Anika Wells hold government position Minister for Sport?,yes,,2022-05-23T00:00:00Z,2024-04-25T19:00:32Z,2022-07-01T00:00:00Z,,position held
What government position does Oliver Dowden hold?,Chairman of the Conservative Party,,2021-09-15T00:00:00Z,2022-06-24T00:00:00Z,2021-09-16T00:00:00Z,2023-05-01T00:00:00Z,position held
