subjectLabel,propertyLabel,objectLabel,startDate,endDate,selected_link,source_date,span,annotator,notes
Saint Lucia,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"Charles is the head of the Commonwealth, an association of 56 independent countries and 2.5 billion people. For 14 of these countries, as well as the UK, the King is head of state.

These countries, known as the Commonwealth realms, are: Australia, Antigua and Barbuda, the Bahamas, Belize, Canada, Grenada, Jamaica, Papua New Guinea, St Christopher and Nevis, St Lucia, St Vincent and the Grenadines, New Zealand, Solomon Islands, Tuvalu.",638a8c63c74f91261108cebf,
Halsey,unmarried partner,Avan Jogia,2023-01-01T00:00:00Z,,https://people.com/who-is-avan-jogia-halsey-8415470,01/2024,"They posed together celebrating Halloween with latex costumes and eclectic glam. “Thank you @luisdejavier🕷️🤍🕸️,” Halsey captioned the post, thanking designer Luis De Javier and the rest of her glam team. Jogia shared the love on his own Instagram, posting a few photos from the same night.",6067641cf1a67d406e731220,
"Twitter, Inc.",chief executive officer,Elon Musk,2022-10-27T00:00:00Z,2023-05-13T00:00:00Z,"https://www.cnbc.com/2023/02/15/elon-musk-aiming-to-appoint-new-twitter-ceo-by-end-of-2023.html#:~:text=Musk%20took%20over%20as%20CEO,the%20reins%20to%20someone%20else.",2/15/2023,Elon Musk aiming to appoint his successor as Twitter CEO by the end of 2023,628b938b2a14e5c3e9ede879,
"Twitter, Inc.",chief executive officer,Linda Yaccarino,2023-05-13T00:00:00Z,,https://www.cnn.com/2023/05/12/tech/twitter-ceo-linda-yaccarino/index.html,5/13/2023,Elon Musk names NBCU ad chief Linda Yaccarino as Twitter CEO,628b938b2a14e5c3e9ede879,
Gibraltar,head of state,Elizabeth II,1952-02-06T00:00:00Z,2022-09-08T00:00:00Z,https://news.sky.com/story/which-countries-recognise-queen-elizabeth-as-head-of-state-12073304,9/18/2020,"There are also a host of overseas territories linked to the UK, Australia and New Zealand that are not in the Commonwealth but still have the Queen as head of state.

These are numerous but include Cayman Islands, the British Virgin Islands, Bermuda, the Cook Islands, Gibraltar, the Falkland Islands and Turks and Caicos, to name a few.",628b938b2a14e5c3e9ede879,
Gibraltar,head of state,Charles III of the United Kingdom,2022-09-08T00:00:00Z,,https://www.bbc.com/news/uk-59135132,9/8/2022,"After Queen Elizabeth II died, the throne passed immediately and without ceremony to King Charles III.",628b938b2a14e5c3e9ede879,
Carmen Small,employer,EF Education-Cannondale,2024-01-01T00:00:00Z,,https://efprocycling.com/racing/ef-education-cannondale-s-first-monument/,04/2024,Sports Director Carmen Small is proud of the spirit EF Education-Cannondale showed.,6067641cf1a67d406e731220,
Pamela A. Smith,employer,Metropolitan Police Department of the District of Columbia,2022-05-01T00:00:00Z,,https://www.washingtonblade.com/2023/08/15/pamela-smith-dc-mpd-interview/,09/2023,And I will always ensure that I provide fair and equal treatment to the members of the Metropolitan Police Department and the residents and the citizens that are visiting the District of Columbia. And my faith has nothing to do with me treating anyone differently. I served when I came into the Metropolitan Police Department as the Chief Equity Officer. And my role was certainly about fair and equitable treatment for every employee of the Metropolitan Police Department.,638a8c63c74f91261108cebf,
Arthur Sakamoto,employer,Texas A&M University,2013-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.cnn.com/2017/11/15/health/american-men-marrying-up-partner/index.html,12/2017,"To come to this conclusion, Kim and his study co-author Arthur Sakamoto, PhD, a professor of sociology at Texas A&M University, looked at gender-specific changes in income and marriage from hundreds of thousands of 35 to 44-year-olds using data from the U.S. Census from 1990 to 2000 and the American Community Survey from 2009 to 2011.",66152194301efb473ceb5265,
Arthur Sakamoto,employer,Hong Kong Baptist University,2023-01-01T00:00:00Z,,https://caser.shanghai.nyu.edu/american-versus-east-asian-norms-and-institutions-regulating-socioeconomic-inequality/,2023-02-16,Arthur Sakamoto is Professor and Head of the Department of Sociology at Hong Kong Baptist University (February 2023).,66152194301efb473ceb5265,
Scott Poteet,employer,Inspiration4,2020-11-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.theverge.com/2021/9/18/22681339/spacex-inspiration4-crew-return-earth-splashdown,2021-09-18,"The crew was in high spirits after stepping out of Crew Dragon, Inspiration4 mission director Scott Poteet told reporters during a post-splashdown press conference.",66152194301efb473ceb5265,
Scott Poteet,employer,Polaris Program,2022-01-01T00:00:00Z,,https://www.popularmechanics.com/space/rockets/a39075118/polaris-program-first-private-spacewalk/,03/2022,"Retired United States Air Force Lieutenant Colonel Scott Poteet, who served as the mission director of the Inspiration4 mission, has been tapped to serve as the Polaris Program's mission pilot.",66152194301efb473ceb5265,
Yalda Hakim,employer,BBC,2012-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://7news.com.au/news/world/bbc-anchor-yalda-hakim-receives-call-from-taliban-spokesperson-suhail-shaheen-while-live-on-air-c-3702268,09/2021,BBC anchor Yalda Hakim receives call from Taliban spokesperson Suhail,6067641cf1a67d406e731220,
Mercedes Varnado,employer,New Japan Pro-Wrestling,2023-01-01T00:00:00Z,,https://www.si.com/wrestling/2023/01/04/sasha-banks-njpw-debut-wrestle-kingdom-17,01/2023,The former WWE star reemerged on Wednesday by making her New Japan Pro-Wrestling debut at Wrestle Kingdom 17.,60730cdbbc89ec27b9cc7acd,
Morton Community Unit School District 709,chairperson,Jeff Hill,2017-01-01T00:00:00Z,2022-05-27T00:00:00Z,https://www.metroweekly.com/2021/08/illinois-teacher-accused-of-calling-gay-students-unwanted-and-sexuality-a-choice/,09/2021,Morton district superintendent Jeff Hill,60730cdbbc89ec27b9cc7acd,
Morton Community Unit School District 709,chairperson,Craig Smock,2022-05-27T00:00:00Z,,https://wmbdradio.com/2023/09/06/morton-school-district-parents-divided-over-e-mails-elementary-principal-received-on-controversial-issues/,09/2023,"“I am asking Principal Saunders, Superintendent (Dr. Craig) Smock, and board member Diane Krall step down or be removed from their positions within the school district,”",60730cdbbc89ec27b9cc7acd,
Yalda Hakim,employer,Sky News,2023-01-01T00:00:00Z,,https://thedesk.net/news/yalda-hakim-joins-sky-news-bbc/,08/2023,Yalda Hakim leaves BBC for Sky News,6067641cf1a67d406e731220,
"William J. Hochul, Jr.",employer,Davis Polk & Wardwell,2024-01-01T00:00:00Z,,https://www.businesswire.com/news/home/20240102924857/en/Davis-Polk-Welcomes-William-J.-Hochul-Jr.-in-New-York,01/2024,"William J. Hochul, Jr., a veteran federal prosecutor, former General Counsel of a highly diversified, government-regulated global business, and prior member of the board of directors of a large healthcare provider and employer, has joined the firm’s White Collar Defense & Investigations practice in New York as counsel.",66152194301efb473ceb5265,
Taylor Lorenz,employer,The New York Times,2019-09-09T00:00:00Z,2022-01-01T00:00:00Z,https://www.theguardian.com/media/2021/mar/11/taylor-lorenz-tucker-carlson-new-york-times,04/2021,The tech reporter for the Times was criticized on Carlson’s show for her online harassment awareness tweet just after International Women’s Day.,6067641cf1a67d406e731220,
Maryana Iskander,employer,Wikimedia Foundation,2022-01-05T00:00:00Z,,https://www.mellon.org/news/maryana-iskander-to-join-mellon-foundation-board-of-trustees,04/2024,"Today, the Mellon Foundation announced the election of Maryana Iskander, Chief Executive Officer of the Wikimedia Foundation, to its Board of Trustees.",60730cdbbc89ec27b9cc7acd,
Stephanie Pollack,employer,Federal Highway Administration,2021-01-01T00:00:00Z,2023-02-01T00:00:00Z,https://www.houstonpublicmedia.org/articles/news/transportation/2021/12/07/414882/federal-highway-administration-investigating-i-45-project-for-federal-civil-rights-violations/,12/2021,"Stephanie Pollack, the deputy administrator of the Federal Highway Administration, spoke at a press conference with Houston U.S. Rep. Shelia Jackson Lee and community stakeholders about the North Houston Highway Improvement Project, which would expand I-45 from north Downtown to Beltway 8.",6067641cf1a67d406e731220,
Independent Senators Group,chairperson,Raymonde Saint-Germain,2022-01-01T00:00:00Z,,https://policyoptions.irpp.org/fr/magazines/february-2022/the-senates-longstanding-duopoly-has-finally-faded/,2/16/2022,"Effective Jan. 1, Senator Raymonde Saint-Germain, a former deputy minister and ombudsperson in Quebec, assumed the leadership of the group, which has consistently focused on Senate reform.",63d41b74587b7ff65285cfa9,
BBC Board,chairperson,Richard Sharp,2021-02-16T00:00:00Z,2023-06-27T00:00:00Z,https://www.gov.uk/government/news/richard-sharp-is-confirmed-as-the-new-bbc-board-chair,2/17/2021,"Following Privy Council approval on 10 February, Richard Sharp has been appointed for 4 years from 16 February 2021 to 15 February 2025.",63d41b74587b7ff65285cfa9,
"Natural History Museum, London",chairperson,"Stephen Green, Baron Green of Hurstpierpoint",2014-04-01T00:00:00Z,2022-10-01T00:00:00Z,https://www.nhm.ac.uk/discover/news/2014/april/lord-green-appointed-chair-natural-history-museum.html,4/2/2014,"Lord Green of Hurstpierpoint was appointed as a Trustee by the Prime Minister for a period of four years from 1 April 2014.

The Board of Trustees met yesterday and elected Lord Green its Chair for a term of four years with immediate effect",63d41b74587b7ff65285cfa9,
Ingrid Schaffner,employer,Chinati Foundation,2020-02-01T00:00:00Z,2023-01-01T00:00:00Z,https://chinati.org/ingrid-schaffner-named-curator-at-the-chinati-foundation/,2/15/2020,"Ingrid Schaffner Named Curator
The Chinati Foundation is pleased to announce that Ingrid Schaffner has assumed the newly created position of Curator. Schaffner will oversee the museum’s permanent collection, exhibitions, residency program, publications, and scholarship. She began her new role in February 2020.",63d41b74587b7ff65285cfa9,
Taylor Lorenz,employer,The Washington Post,2022-03-07T00:00:00Z,,https://nymag.com/intelligencer/2022/03/taylor-lorenz-now-at-washington-post-fights-maggie-haberman.html,03/2022,Today is Taylor Lorenz’s first day at the Washington Post (March 2022),66152194301efb473ceb5265,
Megan Fox,residence,Encino,2022-01-01T00:00:00Z,,https://www.sheknows.com/entertainment/slideshow/2562820/machine-gun-kelly-7-5-million-encino-mansion-photos/,05/2022,"Machine Gun Kelly and Megan Fox have been living in a rental property for quite some time, so they now have a place to call home.",638a8c63c74f91261108cebf,
Katherine Henderson,employer,Curling Canada,2016-04-01T00:00:00Z,2023-08-01T00:00:00Z,https://www.cbc.ca/sports/olympics/winter/curling/state-of-canada-curling-review-1.6723495,02/2023,Canada Curling CEO Katherine Henderson says impending change within the national program's structure 'will be well-managed' following a third-party review focused on improving on-ice performance. (Devin Heroux/CBC Sports),638a8c63c74f91261108cebf,
Catherine Walworth,employer,Arkansas Museum of Fine Arts,2022-01-01T00:00:00Z,,https://www.arkansasonline.com/news/2023/apr/23/profile-catherine-walworth-brings-experience/,05/2023,Catherine Walworth puts together a ‘phenomenal’ collection for visitors to the newly opened Arkansas Museum of Fine Arts.,66152194301efb473ceb5265,
"William J. Hochul, Jr.",employer,Delaware North,2016-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://www.dailymail.co.uk/news/article-9883549/Kathy-Hochuls-husband-executive-casino-management-giant-Delaware-North.html,2021-08-11,"Hochul's husband, William J. Hochul Jr. or Bill, as she calls him, is the general counsel and senior vice president of Delaware North, a gaming giant which has massive stakes in New York's gambling laws.",628b938b2a14e5c3e9ede879,
Katherine Henderson,employer,Hockey Canada,2023-09-04T00:00:00Z,,https://www.cbc.ca/sports/hockey/hockey-canada-katherine-henderson-calgary-summit-1.6962037,09/2023,New Hockey Canada boss Katherine Henderson calls Calgary summit humbling,638a8c63c74f91261108cebf,
Isabelle Demers,employer,Schulich School of Music,2022-08-01T00:00:00Z,,https://www.mcgill.ca/music/channels/news/new-faculty-members-join-schulich-school-music-fall,09/2022,"The Schulich School of Music welcomes Dr. Liliana S. Araújo, Dr. Ellen Bakulina and Dr. Isabelle Demers to the Faculty this Fall 2022",5e89ba09ec9b3364b1fc0bd1,
Kim M. Cobb,employer,Georgia Tech,2004-08-01T00:00:00Z,2022-06-01T00:00:00Z,http://news.gatech.edu/news/2022/01/26/cobb-jo-sa-de-melo-honored-lifetime-aaas-fellows,02/2022,"Kim M. Cobb, Georgia Power Chair, director of the Global Change Program, and ADVANCE Professor in the School of Earth and Atmospheric Sciences, College of Sciences",5e89ba09ec9b3364b1fc0bd1,
Kim M. Cobb,employer,Brown University,2022-07-01T00:00:00Z,,https://www.brown.edu/news/2022-08-17/cobb,09/2022,"Kim Cobb, who joined the University in July as director of the Institute at Brown",5e89ba09ec9b3364b1fc0bd1,
Rami Malek,unmarried partner,Lucy Boynton,2018-01-01T00:00:00Z,2023-01-01T00:00:00Z,https://people.com/celebrity/couples-who-first-fell-in-love-on-screen/,2021-06-21,"The actor confirmed his romance with his costar Lucy Boynton at the Palm Springs International Film Festival's Film Awards Gala on Jan. 3, 2019, several months after the two were first spotted being affectionate in public together.",5e89ba09ec9b3364b1fc0bd1,
Greg Scruggs,employer,Wisconsin Badgers football,2023-01-01T00:00:00Z,,https://uwbadgers.com/news/2023/1/12/football-badgers-name-additional-defensive-staff-members.aspx,02/2023,"Greg Scruggs will join the Badgers as assistant coaches, Wisconsin head coach Luke Fickell announced on Thursday (January 2023).",66152194301efb473ceb5265,
Guylaine Beaudry,employer,McGill University,2022-09-01T00:00:00Z,,https://www.mcgill.ca/library/channels/event/hybrid-event-professor-joseph-w-lella-symposium-342620,10/2022,"We look forward to seeing you in person or online for the Professor Joseph W. Lella Symposium, featuring a plenary lecture by McGill’s Trenholm Dean of Libraries, Dr. Guylaine Beaudry.",638a8c63c74f91261108cebf,
Guylaine Beaudry,employer,Concordia University,2009-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://montrealgazette.com/news/local-news/concordia-excited-to-launch-next-generation-of-scholarly-publishing,11/2016,"“This is a very important milestone,” said Guylaine Beaudry, Concordia’s head librarian.",628b938b2a14e5c3e9ede879,
U.S. Agency for Global Media,chief executive officer,Amanda Bennett,2022-12-06T00:00:00Z,,https://www.voanews.com/a/usagm-ceo-describes-efforts-to-counter-russian-and-chinese-propaganda-/6998599.html,03/2023,"According to USAGM estimates, 394 million people access its programming each week. The federally funded agency overseen by the U.S. Congress has two federal entities, the Voice of America and the Office of Cuba Broadcasting. It also has four nonprofits: Radio Free Europe/Radio Liberty, Radio Free Asia, the Middle East Broadcasting Networks, and the Open Technology Fund.",5eb7dec5245b8670ff3536f2,
Megan Fox,residence,Sherman Oaks,2012-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.architecturaldigest.com/gallery/megan-fox-lists-los-angeles-home,02/2016,"actress Megan Fox has listed her three-bedroom, three-bath home in Los Angeles for $1.3 million, Trulia reports. Rebuilt in 2007, the one-story, 2,494-square-foot Sherman Oaks property features a spacious great room with vaulted ceilings that combines the kitchen and the living and dining areas.",5eb7dec5245b8670ff3536f2,
Amy Rule,residence,Chicago,2011-01-01T00:00:00Z,2022-01-01T00:00:00Z,https://www.forbes.com/sites/adamandrzejewski/2015/03/25/moral-bankruptcy-of-chicagos-elites/?sh=5099543d21d6,2015-03-15,"Rahm Emanuel greets supporters with his wife Amy Rule as he celebrates his election victory after being re-elected Mayor of Chicago April 7, 2015 in Chicago",60730cdbbc89ec27b9cc7acd,
